date,day,start,end,duration_min,sort_order,item_order,id,parent_id,row_type,session,session_name,title,speaker,affiliation,type,room,description
,,,,20,,,,,config,,,Default Program Settings,,,Config,,Default talk duration in minutes
2026-07-06,Day 01,11:00,12:20,,5,,,,session,1,Design and Manufacturing,,,,SPM,,
2026-07-06,Day 01,13:30,14:50,,7,,,,session,2,Discrete Shape Modelling & Analysis,,,,SMI,,
2026-07-06,Day 01,15:30,16:50,,9,,,,session,3,Mesh Processing,,,,SPM,,
2026-07-07,Day 02,10:40,12:00,,3,,,,session,4,Neural & Implicit Representations and Skeletons,,,,SMI,,
2026-07-07,Day 02,13:30,14:50,,5,,,,session,5,CAD and Geometric Modeling,,,,SPM,,
2026-07-07,Day 02,15:30,16:50,,7,,,,session,6,Volumes,,,,SMI,,
2026-07-08,Day 03,10:40,12:00,,3,,,,session,7,"Point Clouds, Registration, and Reconstruction",,,,SPM,,
2026-07-08,Day 03,13:30,14:50,,5,,,,session,8,Discrete Shape Modelling & Analysis,,,,SMI,,
2026-07-08,Day 03,15:30,16:30,,7,,,,session,9,Simulation and Analysis,,,,SPM,,
2026-07-09,Day 04,10:40,12:00,,3,,,,session,10,"Animation, Interaction & Dynamic Scene Modelling",,,,SMI,,
2026-07-09,Day 04,13:30,14:40,10,5,,,,session,11,Lightning talks (Fast-Track Papers),,,,SPM,,
2026-07-06,Day 01,08:00,09:00,,1,,,,event,,,Registration,,,Registration,,
2026-07-06,Day 01,09:00,09:20,,2,,,,event,,,Opening,,,Opening,,
2026-07-06,Day 01,09:20,10:20,,3,,,,event,,,Computing through the Lens of Geometry,Mathieu Desbrun,,Keynote,,Keynote Talk
2026-07-06,Day 01,10:20,11:00,,4,,,,event,,,Coffee Break,,,Break,,
,,,,,,1,,,talk,1,,A salient vector field-driven part orientation selection for multi-axis 3D printing (CAD),"Don Pubudu Vishwana Joseph Jayakody, Tak Yu Lau, Hyunyoung Kim, Kai Tang and Lauren E.J. Thomas-Seale",,,,
